material,method,run,hf_budget,hv
LCE,Physics-free,6,50,0.6963676243070679
LCE,Physics-free,6,60,0.7253216317989987
LCE,Physics-free,6,70,0.7381871099390684
LCE,Physics-free,6,80,0.7469329920824646
LCE,Physics-free,6,90,0.7501539575473676
LCE,Physics-free,6,100,0.7577248896072715
LCE,Physics-free,6,110,0.7691194061161624
LCE,Physics-free,6,120,0.7691194061161624
LCE,Physics-free,7,20,0.5693281538767688
LCE,Physics-free,7,30,0.6216590635593807
LCE,Physics-free,7,40,0.662781476610571
LCE,Physics-free,7,50,0.6960277373770138
LCE,Physics-free,7,60,0.7148581293960837
LCE,Physics-free,7,70,0.7296273036694157
LCE,Physics-free,7,80,0.736915747491241
LCE,Physics-free,7,90,0.7450533082389585
LCE,Physics-free,7,100,0.7538918316480379
LCE,Physics-free,7,110,0.7565355217052394
LCE,Physics-free,7,120,0.7606007928630827
LCE,Physics-free,8,20,0.5647603234775935
LCE,Physics-free,8,30,0.6225201876871302
LCE,Physics-free,8,40,0.661451705607084
LCE,Physics-free,8,50,0.6870485515446967
LCE,Physics-free,8,60,0.7109409996760951
LCE,Physics-free,8,70,0.7241390338684693
LCE,Physics-free,8,80,0.7409253098303734
LCE,Physics-free,8,90,0.7409253098303734
LCE,Physics-free,8,100,0.7537476297946667
LCE,Physics-free,8,110,0.7552861422862414
LCE,Physics-free,8,120,0.769641347402892
LCE,Physics-free,9,20,0.5715666189660957
LCE,Physics-free,9,30,0.6332183186049269
LCE,Physics-free,9,40,0.6686954340347385
LCE,Physics-free,9,50,0.6942075097229311
LCE,Physics-free,9,60,0.7097660865933784
LCE,Physics-free,9,70,0.7349892695696995
LCE,Physics-free,9,80,0.7464092738878231
LCE,Physics-free,9,90,0.7529848898548482
LCE,Physics-free,9,100,0.7642919109874194
LCE,Physics-free,9,110,0.7764049635563524
LCE,Physics-free,9,120,0.7764049635563524
LCE,Physics-free,10,20,0.5718068529064986
LCE,Physics-free,10,30,0.6261711532882561
LCE,Physics-free,10,40,0.6734103604481626
LCE,Physics-free,10,50,0.7014369954456124
LCE,Physics-free,10,60,0.7223812054069866
LCE,Physics-free,10,70,0.7447653128889228
LCE,Physics-free,10,80,0.7541042931134302
LCE,Physics-free,10,90,0.7646313695744837
LCE,Physics-free,10,100,0.7679096517540834
LCE,Physics-free,10,110,0.7726425242988162
LCE,Physics-free,10,120,0.7774792579717403
LCE,Physics-free,11,20,0.5685792604957752
LCE,Physics-free,11,30,0.619596695660123
LCE,Physics-free,11,40,0.6660248027281974
LCE,Physics-free,11,50,0.6988501653457255
LCE,Physics-free,11,60,0.726358677393169
LCE,Physics-free,11,70,0.736582037572323
LCE,Physics-free,11,80,0.7552654303664852
LCE,Physics-free,11,90,0.7594244975807926
LCE,Physics-free,11,100,0.7720545734676398
LCE,Physics-free,11,110,0.7730790528295468
LCE,Physics-free,11,120,0.7796282417945761
LCE,Physics-free,12,20,0.5736837919761631
LCE,Physics-free,12,30,0.6262438271839057
LCE,Physics-free,12,40,0.6706409281027529
LCE,Physics-free,12,50,0.6912603706913532
LCE,Physics-free,12,60,0.7267442271005714
LCE,Physics-free,12,70,0.7272171042357078
LCE,Physics-free,12,80,0.7455691552978045
LCE,Physics-free,12,90,0.7582313321568548
LCE,Physics-free,12,100,0.7582313321568548
LCE,Physics-free,12,110,0.7731905872133735
LCE,Physics-free,12,120,0.7731905872133735
LCE,Physics-free,13,20,0.5733174248314189
LCE,Physics-free,13,30,0.6365595702552903
LCE,Physics-free,13,40,0.6742786034757094
LCE,Physics-free,13,50,0.7071355718879023
LCE,Physics-free,13,60,0.7321732312655836
LCE,Physics-free,13,70,0.739866423821622
LCE,Physics-free,13,80,0.7528921402372972
LCE,Physics-free,13,90,0.7578163151866948
LCE,Physics-free,13,100,0.7583234030818776
LCE,Physics-free,13,110,0.7670284205855199
LCE,Physics-free,13,120,0.7712404308414058
LCE,Physics-free,14,20,0.5804830520918759
LCE,Physics-free,14,30,0.6268866690393
LCE,Physics-free,14,40,0.6734391907654874
LCE,Physics-free,14,50,0.7001627661949039
LCE,Physics-free,14,60,0.7254582064574332
LCE,Physics-free,14,70,0.7420934232005597
LCE,Physics-free,14,80,0.7535602248607508
LCE,Physics-free,14,90,0.7587981720180631
LCE,Physics-free,14,100,0.773265020022985
LCE,Physics-free,14,110,0.773265020022985
LCE,Physics-free,14,120,0.7808588247790772
LCE,Physics-free,15,20,0.566635440636901
LCE,Physics-free,15,30,0.6238126362878628
LCE,Physics-free,15,40,0.6579987079951757
LCE,Physics-free,15,50,0.6900181289368128
LCE,Physics-free,15,60,0.7081186364672735
LCE,Physics-free,15,70,0.7251259148460214
LCE,Physics-free,15,80,0.7349741880759599
LCE,Physics-free,15,90,0.7500437624025861
LCE,Physics-free,15,100,0.7500437624025861
LCE,Physics-free,15,110,0.7594931485255078
LCE,Physics-free,15,120,0.7651391715622999
LCE,MF-SAEA,1,20,0.5933004732231228
LCE,MF-SAEA,1,30,0.6450820029599839
LCE,MF-SAEA,1,40,0.6988858325306744
LCE,MF-SAEA,1,50,0.7291924153675254
LCE,MF-SAEA,1,60,0.7448021201112097
LCE,MF-SAEA,1,70,0.76630379247269
LCE,MF-SAEA,1,80,0.7683391086851591
LCE,MF-SAEA,1,90,0.7819179065111991
LCE,MF-SAEA,1,100,0.7953455063138133
LCE,MF-SAEA,1,110,0.796782158958981
LCE,MF-SAEA,1,120,0.8037340449242154
LCE,MF-SAEA,2,20,0.5931120938287531
LCE,MF-SAEA,2,30,0.6697424689450882
LCE,MF-SAEA,2,40,0.7086548913314838
LCE,MF-SAEA,2,50,0.7521529931265001
LCE,MF-SAEA,2,60,0.7641279530685486
LCE,MF-SAEA,2,70,0.7858420703441769
LCE,MF-SAEA,2,80,0.7871133768115594
LCE,MF-SAEA,2,90,0.7924611315826838
LCE,MF-SAEA,2,100,0.8015780841523056
LCE,MF-SAEA,2,110,0.8015780841523056
LCE,MF-SAEA,2,120,0.8015780841523056
LCE,MF-SAEA,3,20,0.5884288890466007
LCE,MF-SAEA,3,30,0.6543848200561072
LCE,MF-SAEA,3,40,0.7113869080975271
LCE,MF-SAEA,3,50,0.734997830845731
LCE,MF-SAEA,3,60,0.7603497873770316
LCE,MF-SAEA,3,70,0.7805607693427468
LCE,MF-SAEA,3,80,0.7828925558133446
LCE,MF-SAEA,3,90,0.7895438328010295
LCE,MF-SAEA,3,100,0.803163590408798
LCE,MF-SAEA,3,110,0.803163590408798
LCE,MF-SAEA,3,120,0.8116235402980972
LCE,MF-SAEA,4,20,0.5916607235236514
LCE,MF-SAEA,4,30,0.6486504729265359
LCE,MF-SAEA,4,40,0.695226666502294
LCE,MF-SAEA,4,50,0.7227902074499407
LCE,MF-SAEA,4,60,0.7434946901329121
LCE,MF-SAEA,4,70,0.7580180984720364
LCE,MF-SAEA,4,80,0.7718205544819321
LCE,MF-SAEA,4,90,0.7754297091170064
LCE,MF-SAEA,4,100,0.786374702392474
LCE,MF-SAEA,4,110,0.7903468614035417
LCE,MF-SAEA,4,120,0.7937876108140797
LCE,MF-SAEA,5,20,0.5750975871047038
LCE,MF-SAEA,5,30,0.6382484506249362
LCE,MF-SAEA,5,40,0.6775153072349638
LCE,MF-SAEA,5,50,0.7125637766156149
LCE,MF-SAEA,5,60,0.7324598628027795
LCE,MF-SAEA,5,70,0.757522762747862
LCE,MF-SAEA,5,80,0.7660760602688368
LCE,MF-SAEA,5,90,0.7846794475261991
LCE,MF-SAEA,5,100,0.7846794475261991
LCE,MF-SAEA,5,110,0.7963604416054679
LCE,MF-SAEA,5,120,0.8036199506662992
LCE,MF-SAEA,6,20,0.5763657919671541
LCE,MF-SAEA,6,30,0.6422913858529439
LCE,MF-SAEA,6,40,0.6864416533592987
LCE,MF-SAEA,6,50,0.7161307971199393
